product_id,product_name,category,sub_category,unit_cost,unit_price
53,Calcium + Vit D 500mg,Consumer Health,Vitamins & Supplements,399.79,586.6
54,Calcium + Vit D 50s Pack,Consumer Health,Vitamins & Supplements,327.96,535.03
55,Fluoride Toothpaste Pack of 3,Consumer Health,Oral Care,189.22,310.12
56,Fluoride Toothpaste Box of 10,Consumer Health,Oral Care,170.24,269.52
57,Antiseptic Mouthwash Box of 10,Consumer Health,Oral Care,206.25,383.25
58,Antiseptic Mouthwash 150ml Tube,Consumer Health,Oral Care,223.88,408.42
59,Toothbrush Pack Pack of 3,Consumer Health,Oral Care,338.32,522.39
60,Toothbrush Pack 100ml Tube,Consumer Health,Oral Care,153.35,280.69
61,Petroleum Jelly 200ml Bottle,Consumer Health,Skin Care,446.4,833.86
62,Petroleum Jelly Pack of 2,Consumer Health,Skin Care,576.97,979.03
63,Antifungal Cream 50g Tube,Consumer Health,Skin Care,569.78,965.8
64,Antifungal Cream Pack of 2,Consumer Health,Skin Care,385.05,647.84
65,Sunscreen Lotion 100g Jar,Consumer Health,Skin Care,467.8,770.03
66,Sunscreen Lotion Pack of 2,Consumer Health,Skin Care,561.49,818.96
67,Antibacterial Soap 250ml Bottle,Consumer Health,Personal Care,274.42,476.29
68,Antibacterial Soap Box of 10,Consumer Health,Personal Care,543.09,833.79
69,Hand Sanitizer Gel Box of 10,Consumer Health,Personal Care,122.76,198.74
70,Hand Sanitizer Gel 250ml Bottle,Consumer Health,Personal Care,448.62,838.05
71,Baby Diaper Pack Pack of 3,Consumer Health,Personal Care,250.76,441.06
72,Baby Diaper Pack 100g Bar,Consumer Health,Personal Care,106.35,182.77
73,Digital Thermometer Set of 2,Medical Equipment,Diagnostic Devices,517.76,641.3
74,Digital Thermometer Unit,Medical Equipment,Diagnostic Devices,8416.3,11997.71
75,Blood Pressure Monitor Set of 2,Medical Equipment,Diagnostic Devices,2257.41,2788.29
76,Blood Pressure Monitor Box of 5,Medical Equipment,Diagnostic Devices,15113.07,20398.19
77,Glucometer Kit Unit,Medical Equipment,Diagnostic Devices,16177.49,19298.23
78,Glucometer Kit Set of 2,Medical Equipment,Diagnostic Devices,14048.79,18922.04
79,Pulse Oximeter Box of 5,Medical Equipment,Diagnostic Devices,396.11,550.77
80,Pulse Oximeter Unit,Medical Equipment,Diagnostic Devices,4522.38,6287.42
81,Suture Kit Sterile Pack of 10,Medical Equipment,Surgical Instruments,12656.74,15321.42
82,Suture Kit Box of 5,Medical Equipment,Surgical Instruments,2511.15,3362.44
83,Surgical Scissors Set Box of 5,Medical Equipment,Surgical Instruments,3047.27,3751.88
84,Surgical Scissors Set Set,Medical Equipment,Surgical Instruments,12865.31,15005.46
85,Scalpel Blade Pack Box of 5,Medical Equipment,Surgical Instruments,15949.38,18780.65
86,Scalpel Blade Pack Set,Medical Equipment,Surgical Instruments,3548.54,4915.52
87,Wheelchair Standard Unit,Medical Equipment,Mobility Aids,10431.71,12939.52
88,Wheelchair Standard Foldable,Medical Equipment,Mobility Aids,10530.9,15082.13
89,Crutches Pair Foldable,Medical Equipment,Mobility Aids,7451.41,8868.88
90,Crutches Pair Unit,Medical Equipment,Mobility Aids,5221.94,6962.39
91,Hospital Bed Manual Standard,Medical Equipment,Mobility Aids,7589.05,10066.81
92,Hospital Bed Manual Foldable,Medical Equipment,Mobility Aids,5911.62,7639.23
93,Nitrile Gloves Box Carton of 10 Boxes,Medical Equipment,PPE,1479.56,2063.79
94,Nitrile Gloves Box Box of 50,Medical Equipment,PPE,2000.47,2817.06
95,Surgical Face Masks Box Box of 100,Medical Equipment,PPE,1881.26,2739.27
96,Surgical Face Masks Box Carton of 10 Boxes,Medical Equipment,PPE,2029.7,2709.16
97,Disposable Gowns Pack Box of 50,Medical Equipment,PPE,280.58,391.18
98,Disposable Gowns Pack Carton of 10 Boxes,Medical Equipment,PPE,1895.33,2675.6
99,Examination Couch Unit,Medical Equipment,Hospital Furniture,10934.88,15719.2
100,Examination Couch Standard,Medical Equipment,Hospital Furniture,17919.72,24304.51
101,IV Stand Standard,Medical Equipment,Hospital Furniture,7164.8,8688.88
102,IV Stand Unit,Medical Equipment,Hospital Furniture,9594.06,13440.24
103,Bedside Cabinet Unit,Medical Equipment,Hospital Furniture,10140.66,12092.52
104,Bedside Cabinet Standard,Medical Equipment,Hospital Furniture,8233.95,11334.85
